datetime,ADA/USD,ALGO/USD,ANKR/USD,ARDR/USD,ATOM/USD,BAND/USD,BAT/USD,BCH/USD,BNB/USD,BTC/USD,CHZ/USD,COMP/USD,CTSI/USD,DASH/USD,DOT/USD,ELF/USD,ENJ/USD,FTT/USD,GMT/USD,HBAR/USD,ICX/USD,IOTA/USD,LINK/USD,NEXO/USD,NMR/USD,ONT/USD,QTUM/USD,RLC/USD,RVN/USD,STORJ/USD,STX/USD,THETA/USD,TRX/USD,VET/USD,WAVES/USD,XAU/USD,XLM/USD,XRP/USD,ZEC/USD,ZIL/USD,ZRX/USD
2021-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,-0.15135708002521592,-0.10800644368159469,0.04032040386297829,0.009843690256893304,-0.18623819205085843,-0.04196356849442168,-0.12412884696471944,-0.09197840619902924,-0.13458318424118318,-0.04736444698204201,0.3359988566030338,-0.06974092356513056,-0.004520809237497814,-0.12687164597003084,-0.0718634761808421,-0.07009807778617294,0.09095355174502708,-0.09561244254702456,-0.026092465312118118,0.2922744430054892,0.07668674931542677,-0.03259934180445187,-0.13027987578559785,-0.0605761246895792,-0.12054028202551376,-0.11578162582330134,-0.013599400842919065,-0.046577686940124444,-0.09386618216587381,-0.051323555267521734,-3.532897006887141,0.17922411910811054,0.005639906777768919,-0.06552483634752346,-0.06689010881133436,-0.0046578716784301906,-0.12332429956824874,-0.03561620382669567,-0.09273661556115888,-0.09311804167264602,-0.15260261214486356
2021-03-05,-0.020554628838504438,-0.05201364120941624,-0.1133250045396576,0.1341375148701777,-0.05934826851955369,-0.06081671756355932,-0.07665138338621949,-0.063667436708611,-0.09407006761731587,-0.0006124093217347928,-0.1684073696409227,-0.018389179141856712,-0.03999870979199194,-0.08213536539456834,-0.05792579031814391,-0.011680889545802653,-0.13673569152328588,-0.051593189334920186,-0.0028220748742891315,-0.11673781236140758,-0.08327946227555241,-0.06803598546140201,-0.049249172065292904,-0.034876974837877425,-0.004283444023817241,-0.007316898370447918,0.09194752113288314,-0.06251214888252642,0.07807659047951036,-0.017963216132274928,-3.905486406255134,-0.05214842851378465,-0.1035141650347922,0.0077798690810515075,0.0415367363142757,0.008277233891090727,-0.1627479760144542,-0.19008279520794605,-0.06659675283922566,-0.03548879200574841,-0.11457596608087992
2021-03-06,-0.06233565359938789,-0.01658049319194468,-0.06579645200558078,-0.06642259050607593,-0.0046569970432217625,-0.0035163565724573888,-0.059399665812766005,-0.03434901894565685,-0.02354303517558437,-0.01687702684911578,0.030307190748224355,0.016169122559126243,-0.07498084909779155,-0.03540297981952544,-0.023390968377556207,-0.03686576832839207,-0.088152973238301,0.00911655363952513,0.05889080906658761,-0.08726920468509063,-0.07847093092899982,-0.09268580238037158,-0.013179281616003763,-0.04898680392374335,-0.013889445386867276,-0.019048369194826303,-0.06744981294694896,0.0320153698960087,-0.026039018563673653,0.0162682908554549,-0.52248425731548,-0.03296589711549609,-0.042862538176538026,0.006803907536524947,-0.021655140534539735,0.0036829766059784403,-0.07496509846005373,-0.006138891863948011,-0.013033072504400972,-0.03168250472874805,-0.041321916590800006
2021-03-07,-0.0006999174023842106,0.03834638987848701,0.054288791304513646,-0.025431957017821326,0.020550622642206605,0.0552276858425471,0.03560453557544982,0.029205936446405473,0.04752326845202902,0.03532903624486643,0.11761775728893219,-0.01731402591453705,0.0946155316249478,0.02347517615551519,0.03886880976045262,0.034350597768273886,0.19062265510226456,0.020423735730410116,0.03868060989375363,0.019805337477501937,0.050909846179118784,0.030206849511584304,0.013835306330933892,0.03854251984156933,0.0033554803292596552,0.017453761858301088,0.017689887640164385,0.11232057017466372,0.00635859483652354,0.009041148103755189,-0.21252940977877272,0.000891500275572242,0.0396170054151468,0.056146946430279024,0.013841653975227514,0.0023399357546882403,0.04152794359259651,0.022983130584703724,0.03489113579416016,0.0022815081817078604,0.03295362776984496
2021-03-08,-0.02189732410180211,0.025420844203808565,0.0951738871448804,-0.01747328051073292,-0.006545890114817699,0.07683503374686358,0.05646022107343701,0.01692302038921227,-0.03275056763578406,0.01031965969923385,0.6542435681542365,-0.031868168993606595,0.05473093297946674,0.010086165796268661,-0.02892856519261709,-0.02905860217741605,0.1958382909225097,0.018410610480910132,0.058846613781893355,0.12261376104078357,-0.04085666110212055,-0.03303003533281244,0.10165044518962343,0.0555251798018662,0.03718218487889229,0.07283890146818425,-0.016263040902393285,0.06315817495755585,-0.05345236304519714,-0.003280226497364064,-0.9577799263615643,0.11912896723391299,0.016711074316223276,0.14090188387844038,0.004967763420824837,-0.011119263404690768,0.017736294674123496,0.014725109350030633,0.0019344227102864814,0.06446930245529614,-0.0007258993105233331
2021-03-09,0.07005000948279733,-0.040410203457160385,0.02641481472883421,0.07659273671019423,0.07808346354569687,-0.001766203907573545,-0.04856502923827276,0.005940615533699352,0.13851215258670582,0.03733029297284351,0.08339020447225534,0.04667593394362293,-0.09986233539342898,0.11928452408756127,0.044796859441309844,0.030717188502047528,-0.11494507859765321,0.14110753473322546,0.019116619191978806,0.1476838240053427,0.05739597644341178,0.02902201190199824,-0.0617971118786028,0.05507766933466332,-0.001606970549260546,0.04676473403142524,0.02738672838290462,-0.04651980752717066,0.14515661868806146,0.07593311534370827,-1.1350805043921046,0.07105973148191351,-0.04333694106474445,-0.05853102586022546,0.06669214703087054,0.020717242405819583,0.0790164702462163,0.028674661579184323,0.0901992333096996,0.10305383650828459,0.016802825462192316
2021-03-10,-0.059521815058089,-0.0824961299325474,0.043162569632603426,-0.11108380242447423,-0.044987106426049556,-0.0961096757487873,0.08594911131848237,0.02561928664136908,-0.08338847259695789,-0.0009995418361911368,-0.09455461564021081,-0.05576459451699296,-0.1402803930286305,-0.024626322562758547,-0.05361848981904161,-0.03466733433042503,-0.10511242238267256,-0.05341645149123811,-0.05202153595918477,-0.011848201910345857,-0.06459273922957988,-0.07220952414067604,-0.04887412198525085,-0.07407373864127047,-0.017268656475843903,-0.06806603521751108,-0.017093500099114353,0.1191625599025901,-0.03485600434972512,-0.04245948095796517,-0.3514398032820983,0.16640290139232553,-0.025625442100955714,-0.06930401941619715,-0.001990053239464336,0.0015650448849680084,-0.027493206551724325,-0.01678812956141721,0.04864827894165807,-0.052405383823134324,-0.013913851972991748
2021-03-11,-0.029239534624001015,-0.038669889972637095,0.06171610753757521,0.002842672554152409,-0.03434108041760489,-0.0015630002128737656,-0.05607504081112273,0.0002504007022825841,0.03164417952440167,0.013458313315605184,0.4302535457757951,-0.006602231850843146,0.018303167087453907,0.0011134839817480173,-0.037736195459320665,0.028654395616741785,0.03964804091337574,0.03257480491409012,-0.0031666217869695708,0.1672471181272902,-0.015101843163591498,0.0622561037210561,-0.0015028430327828704,-0.01785613519174087,0.0937907721489771,-0.019204005089395845,-0.006755808831960778,0.16811364471117918,-0.024771701663312228,-0.014132170441480326,-0.16028962513275297,0.01979575284108851,-0.0035299317193994133,0.07476945342171419,-0.019570836353431348,-0.001593362251283108,-0.026453123982377563,-0.005427576360479986,0.07214182213320142,0.3538489361494694,-0.02876925064910797
2021-03-12,-0.1171574541807664,-0.06092541599333307,0.35858714708593586,-0.0004488612088038718,-0.058146977284574596,-0.06265107504999186,-0.10359790301773483,-0.062193247365622144,-0.16393334158904538,-0.02428615199684424,0.9643156460302887,-0.0826740429077322,-0.23121876841595546,-0.09089351235201214,-0.05446734918658144,0.11826397930601822,0.09593597020163061,-0.06399307508707062,-0.04551992400686343,-0.059745079434033066,-0.08470460803512876,-0.1365820277660331,-0.09665731256553306,-0.03702497898861175,-0.07781048336508589,-0.11574513472831564,-0.09525160357812407,-0.12817585985083862,-0.007992340417558114,0.08818791456597566,-1.3429660549127485,-0.034073126962520364,-0.08718973670308419,-0.056869809079318975,-0.033588914600233534,0.0025005999615304395,-0.10116481434193561,-0.07115836838035464,-0.07513749910256515,-0.08155493382735625,-0.0850483757745347
2021-03-13,0.03239435839252003,0.044961089995942546,0.015236949863001253,-0.043743954349185724,0.023204245355783425,0.05179275537930158,0.017666512288431392,0.09579436684796924,-0.03597033983771061,0.043855678674253065,-0.4096732686964139,0.06791396666969243,0.10276638092938312,0.08191857376675793,-0.017843762015917475,-0.06356341938712287,-0.11083373220174185,0.0499250049416856,0.08242496750363636,-0.07106513268259368,0.02521233787976173,-0.02866103040072071,0.01509590340020956,0.01697491430520072,0.043951107236276286,0.01750653171882815,0.024550470270031544,0.02702334349096233,-0.008707821246700158,0.003899934734160875,-1.1825073471440317,-0.05958587059557948,0.01741534233280717,-0.021345036670163832,0.035065108341296614,-0.0070820241443017885,0.0321571317209197,0.031755052151074305,0.08701562423694327,0.13671863420929473,0.020630914080775033
2021-03-14,-0.04017335237136391,-0.01787161889618081,0.015531491755365065,0.026841023594929337,-0.044110692559222495,-0.07077032560339665,-0.05177398676050579,-0.07024398839413529,-0.05687595429722063,-0.03974672011374046,0.0590392553820238,-0.0571201185542988,0.051732376713320705,-0.05579446904015972,-0.026854001086126098,-0.041985740560284875,0.12682909460477784,0.00617535995386722,-0.03998782202280409,0.297058541937438,-0.06177227897733183,-0.03806368683416256,-0.03380376351261261,0.009719973664048434,-0.02818614815612607,-0.04612782221618196,-0.037391360791982915,-0.06538176045685828,-0.09026331174949023,0.09478841118102406,-0.5907143534790763,0.04555284108665885,-0.01717343469454912,-0.019038513719954065,-0.026026170867174462,0.002025785960682595,-0.021496442963099504,-0.030351158994098917,-0.08285223845576581,-0.11134292263157464,-0.03910756028894899
2021-03-15,-0.06673936366509206,0.022024170365509466,-0.03489976501074267,-0.10368766175155175,0.04314502725448803,-0.07699044160394558,-0.06062845120144977,-0.07245576829947477,-0.09253513409887928,-0.08339182270303068,-0.17406704659897568,-0.046182952527816075,-0.0755471416587169,-0.06125645566690677,-0.10008955476680767,-0.0469447754330851,0.09000276156927986,-0.07378372293986576,-0.059278759301613776,0.05262600830220264,0.09776796846238489,-0.06924891368273027,-0.07136364968658107,-0.03134978542152607,0.033707931583388265,0.03483295806637616,-0.0032056259458800446,0.010484397420193577,0.16246043422772036,0.027258378732491078,-0.718499979861775,-0.11923572457748813,-0.038732902322461196,0.15092655807234323,-0.021600808609257543,0.0011919541482661466,-0.04574361427629958,-0.017578779046498294,-0.0734969677486012,-0.04790127509221938,-0.031128184371770916
2021-03-16,0.21193862956341986,-0.016460084210720392,0.03246865271974477,-0.01247803771892303,0.045150762608702974,0.05462183671828676,0.3160996769237242,0.0019635096551146557,-0.012793036689202304,-0.0037192378300776457,-0.21259484778338938,-0.005083520842735084,0.24090982695672192,0.006915139800288969,0.005553696051572847,-0.023120610268913506,-0.11154356025223763,-0.04042627694851972,-0.0016380296754439135,-0.21937216134500773,-0.02678211211533473,0.030472168457129807,0.00998116193392156,0.03190594476566044,0.0286174098054045,0.024320885924704133,0.09223633003980895,0.19958511950578367,0.004287533218750989,0.047219096370966926,-0.029693326608798865,-0.019066009678985064,0.02497696304733105,-0.0812716342029139,0.01870264278247164,-0.0016434825281363573,0.051841030456699536,0.07986795856491805,0.028811178180748583,-0.05320187542687785,0.07086850748190651
2021-03-17,0.1074933868273332,0.06716515253793612,-0.06589016357614366,0.07220244321898237,-0.00291756124289776,0.04809882948135276,0.19872430156593482,0.030355461505573132,0.028073067810553076,0.02652456044654717,0.09488796511255859,0.008726362705117282,-0.051962946591867634,0.02373735310089771,0.001664264225211022,0.023084726773532353,-0.06671805001158095,0.007208258762736598,0.006784003004531157,0.015769317375363447,-0.023144558729860532,0.031573071399625466,0.11706276044886416,0.003037223457149083,0.06449354153496911,0.08827729000020884,-0.0048971388998110855,-0.09948827876862054,-0.032568677334516676,0.008774688894185966,-0.12033920549803967,0.07011953912946323,0.0687035912343246,0.032919825715309145,0.04457097297976888,0.009144053985338862,0.058160207723977814,0.044810596208848905,0.05463725482390969,0.2567081759351734,0.025860883378677528
2021-03-18,-0.12108249567178342,-0.03330981572905853,-0.04373351383685661,0.007524752520109975,0.061390539186764057,-0.023386717980806323,-0.04136266030992729,-0.015848683175815788,-0.04626920060787626,-0.028075753134191847,0.07468050619815195,-0.004794837973068546,-0.05710088692822376,-0.010058627790042182,-0.03493190947909171,0.08450657262310979,0.047286347786400076,-0.06036331676573531,-0.031149055785650914,-0.07689082438357067,-0.010457347389469287,-0.013256204225813735,-0.047748978493081316,-0.032234274424631684,0.24791741691587033,-0.05572941367988214,0.03472849327394435,-0.06321862151139573,-0.09348861557044028,-0.015190615087533011,-0.4490038514671181,0.032836123417438676,-0.017812055498713057,-0.0008651233807989087,0.029312863928715047,-0.00504342788776724,-0.01592343777993097,0.01178249160888656,-0.015378924575077519,-0.10472895370567678,0.06499136869079875
2021-03-19,0.027234350004663888,-0.07570272094280175,0.1626870644870271,0.0074100482639014725,-0.036810005214813285,-0.003993554453157085,-0.0796177786206186,0.03062541370531313,-0.05958574202169864,-0.02318178434053194,-0.05600254606955871,0.008198197426514474,0.03431132112038457,0.030785902319955247,-0.0007187389138851863,0.08287547755959751,-0.1013251453750811,-0.05761910224045172,-0.005301947187324862,-0.030657454231873722,0.0787127273170207,0.0396791196260362,-0.004491775563648763,-0.02293834926729979,-0.11600670774993828,0.040367422848765155,0.14631557463690428,0.06498907180352714,-0.060675921459747706,0.031316444728471046,1.2748117602461146,-0.12756735086842214,0.12675090504819475,0.004490617599571825,0.0023714777552050204,-0.0031634142806628122,0.11071382136416426,0.07422007771209864,0.10063666556362258,0.008598142101625465,0.059789421539485556
2021-03-20,-0.10471444501406849,-0.025137797862483557,-0.08423391795901064,0.010979427800935864,-0.07787987741387188,0.02344131922901104,-0.09225125897991197,0.006474601075400946,-0.011208913547188462,-0.007429588864680758,-0.16694621413273214,-0.0817989472147794,-0.020544073570191605,-0.00591325678927071,-0.018521085943838445,-0.08849390047904514,-0.15043286384304969,-0.022147083438768457,-0.004981893924930357,-0.1132026646627798,-0.0346009185131297,0.02921197382226681,-0.0116958159047787,-0.049370445276756124,-0.05795468264486713,-0.008019860441506647,-0.08206396216691805,-0.06272015242937509,0.014231293138682516,-0.05053722056356599,-2.0337909138738333,0.005151868772647221,0.04082659386087114,0.09452568289954921,0.003686001941429807,0.0038020441733262063,-0.009505384299409655,0.08059188393508027,0.012388849984569357,-0.08314990060816417,-0.04334673681998284
2021-03-21,-0.027735430400829257,-0.03486291555533878,0.05645831769820614,-0.12769068166705763,-0.03336894072276174,-0.06785374182059585,0.012831245995991322,-0.01804980612510114,-0.008980068633539347,-0.026611566446296142,0.004421597745889877,-0.04494255921241379,-0.02496067140586558,-0.029765058503926363,-0.035725727318156625,0.06430185546900619,0.07261671962526167,-0.042845031403125566,-0.02380614704432122,0.04011856409300249,-0.014223634227865625,0.006019981037076716,-0.022296350948831287,-0.0015157179675211047,-0.0425990480491006,-0.008449930834796986,0.012660724831416025,-0.0161088595557164,-0.018328674120967274,0.01685769109759866,-0.04766428784618704,0.10630429118580031,0.0446813330172342,0.023390143312015693,-0.02769142098476911,0.002643928032719944,-0.026840848451765605,0.005574128632779816,-0.05652522306194881,-0.00986154663487493,-0.041192451874924985
2021-03-22,-0.11115374738099282,-0.09390307372742993,-0.10794585885485601,0.08268808017312748,-0.09430656439368355,-0.07776352596154315,-0.07388545003274416,-0.04116998669394091,-0.07995565496657284,-0.06873073615719402,-0.15364235182215397,-0.08381938231889291,-0.0902775659162201,-0.07722737121091316,-0.06610037749702882,-0.002842688523513097,-0.1634619323191906,-0.10312798892654869,-0.07490093888795799,-0.1135090924224289,-0.0747650923515529,0.006597154214375955,-0.0880830455486307,-0.1267023102872647,-0.06901486090291371,-0.012106680370604833,-0.03405931929494131,-0.07350106147107269,-0.13414343545544127,-0.02328240327895783,-0.7827605216339255,0.018753272346052834,-0.08834123763288097,-0.09496022267290236,-0.015633109072831892,-0.004613304923085254,-0.05719503955751413,0.04090192016436256,-0.06904686736511143,-0.08733285220705984,-0.05834474696777148
2021-03-23,-0.019144095585415806,-0.02840935609373721,0.420854807215178,0.009225695013225205,-0.06410657361777826,-0.017728734950344376,-0.09047643149839145,-0.012282020324540364,-0.0252885261269852,-0.012666804992561412,-0.04279851071652463,-0.08939036264733646,0.18849926168880432,-0.008560483889607614,-0.06695301956034462,0.03855062745545865,-0.11411038506402367,-0.03195234854876105,-0.03173975122142583,-0.038976394873962955,-0.02343178523797579,0.10607099127136196,-0.03788627086355582,-0.025110144187145144,-0.04050100235185422,0.10290910989211197,0.07746566131150108,-0.060679086902118345,-0.0566232053456686,0.904430997357234,0.5769283977903877,0.224927424020531,-0.03348312599138506,-0.10086040849987102,0.12747072029885295,-0.005901877531958228,0.005687948632222797,0.03863452838098112,-0.046839209930666245,-0.0015769647954549243,0.007193124927451833
2021-03-24,-0.0828180749177303,-0.14777145572993108,-0.22131089458515069,-0.22754848714147724,-0.10819810651673689,-0.12180961413388547,-0.13143226455702317,-0.08437894949162614,-0.10605201572542684,-0.05926454127568942,-0.12211282449176163,-0.06262400849911302,-0.11020774251606462,-0.07436893485015592,-0.20512860860498092,-0.14808331459635132,0.0060824764863184055,-0.1304467674260096,-0.07285433685748971,-0.11429863778935537,-0.0014125336853280292,-0.17522579884344766,-0.09837500085200003,-0.09759317919589944,-0.07188470371127002,-0.12172729985330563,-0.0028250155719455605,-0.04794441644710353,-0.10405310099967333,-0.20667742084173535,0.4306001847682755,-0.17084179099297692,-0.08415057970867884,-0.02801306901737738,-0.032147835995244935,-0.005481550786324608,-0.021349058848170052,-0.11851392708050523,-0.047000385180014384,-0.05723600629881583,-0.097242272755621
2021-03-25,0.0021867879316334084,0.033756948538307394,0.33058118911525763,-0.024798811442825218,-0.044202330032001365,-0.03425695489893681,-0.028245733676282546,-0.004753182541950044,-0.061056488578803476,-0.03284891886558959,-0.07030298275350405,0.013238666514003357,0.01409302591431167,-0.03514100133669648,0.007411062913090859,-0.0780205870648925,-0.048764477911980915,-0.0732061394219235,-0.003963592086141714,-0.03536487151465883,-0.06210433909998936,-0.10077566751224903,0.006285859966419172,0.05420782463586164,-0.10419356518073446,-0.06153868910282993,0.14383429314223095,-0.05559372552791343,0.03184918961374053,-0.031974219518433634,-2.2677601718641465,0.13236065098203287,-0.0015924256780145696,-0.0582514640016473,-0.05919102240239013,0.005955601164342602,-0.09166040801794996,0.018939066171744262,-0.07631971981375314,-0.049835504137001954,-0.07371776991220824
